StudyRegion,Year,Envelope,Species,d13C,d15N
BC,2011,11h324,Lynx_rufus,-20.15,5.12
BC,2009,e18,Lynx_rufus,-20.48,5.82
BC,2011,11b667,Lynx_rufus,-20.52,5.47
BC,2011,11b666,Lynx_rufus,-21.26,6.38
BC,2011,11h294,Lynx_rufus,-21.4,6.42
BC,2011,11h268,Lynx_rufus,-21.5,7.07
BC,2010,e292,Lynx_rufus,-21.65,6.78
BC,2009,e98,Lynx_rufus,-21.84,5.64
BC,2009,e22,Lynx_rufus,-21.95,7.01
BC,2009,h264,Lynx_rufus,-21.97,8.07
BC,2010,e297,Lynx_rufus,-21.99,6.54
BC,2009,b610,Lynx_rufus,-22.02,5.37
BC,2011,11b580,Lynx_rufus,-22.1,6.61
SSM,2009,j24,Lynx_canadensis,-22.25,3.65
BC,2009,b608,Lynx_rufus,-22.31,5.74
BC,2011,11h265,Lynx_rufus,-22.35,5.33
BC,2010,e293,Lynx_rufus,-22.36,9.02
BC,2011,11h270,Lynx_rufus,-22.43,3.85
BC,2011,11h291,Lynx_rufus,-22.45,6.07
SSM,2012,12h008,Lynx_rufus,-22.49,6.36
BC,2010,e311,Lynx_rufus,-22.5,4.68
BC,2010,d219,Lynx_rufus,-22.53,5.97
BC,2009,e30,Lynx_rufus,-22.61,7.02
BC,2009,b612,Lynx_rufus,-22.69,6.23
BC,2009,b645,Lynx_rufus,-22.7,6.02
BC,2011,11h280,Lynx_rufus,-22.72,6.02
BC,2010,s60,Lynx_rufus,-22.78,6.44
BC,2009,a860,Lynx_canadensis,-22.8,6.91
BC,2010,d223,Lynx_rufus,-22.84,6.6
SSM,2009,j214,Lynx_rufus,-23.02,4.3
BC,2009,a960,Lynx_rufus,-23.08,5.2
BC,2009,b646,Lynx_rufus,-23.08,6.11
NWON,2009,h335,Lynx_rufus,-23.08,6.2
BC,2009,e32,Lynx_rufus,-23.1,6
BC,2009,e21,Lynx_rufus,-23.12,5.74
SSM,2009,k31,Lynx_canadensis,-23.14,4.63
BC,2011,11c407,Lynx_canadensis,-23.14,5.77
